SampleID	species	age	sex	tissue	diet	mix_diet	sp_diet
E18	gambiensis	Teneral flies	females	guts	Vanderzant vitamin mixture diet	Vitamins	gambiensis/Vitamins
E1	morsitans	Teneral flies	females	ovaries	Vanderzant vitamin mixture diet	Vitamins	morsitans/Vitamins
E2	morsitans	Teneral flies	females	ovaries	Vanderzant vitamin mixture diet	Vitamins	morsitans/Vitamins
E3	morsitans	Teneral flies	females	ovaries	Vanderzant vitamin mixture diet	Vitamins	morsitans/Vitamins
E4	morsitans	Teneral flies	females	guts	Vanderzant vitamin mixture diet	Vitamins	morsitans/Vitamins
E5	morsitans	Teneral flies	females	guts	Vanderzant vitamin mixture diet	Vitamins	morsitans/Vitamins
E6	morsitans	Teneral flies	females	guts	Vanderzant vitamin mixture diet	Vitamins	morsitans/Vitamins
F1	pallidipes	16 days old	males	testes	B vitamins diet	Vitamins	pallidipes/Vitamins
F2	pallidipes	16 days old	males	testes	B vitamins diet	Vitamins	pallidipes/Vitamins
F3	pallidipes	16 days old	males	testes	B vitamins diet	Vitamins	pallidipes/Vitamins
F4	pallidipes	16 days old	males	guts	B vitamins diet	Vitamins	pallidipes/Vitamins
F5	pallidipes	16 days old	males	guts	B vitamins diet	Vitamins	pallidipes/Vitamins
F6	pallidipes	16 days old	males	guts	B vitamins diet	Vitamins	pallidipes/Vitamins
F13	gambiensis	16 days old	males	testes	B vitamins diet	Vitamins	gambiensis/Vitamins
F14	gambiensis	16 days old	males	testes	B vitamins diet	Vitamins	gambiensis/Vitamins
F15	gambiensis	16 days old	males	testes	B vitamins diet	Vitamins	gambiensis/Vitamins
F16	gambiensis	16 days old	males	guts	B vitamins diet	Vitamins	gambiensis/Vitamins
F17	gambiensis	16 days old	males	guts	B vitamins diet	Vitamins	gambiensis/Vitamins
F18	gambiensis	16 days old	males	guts	B vitamins diet	Vitamins	gambiensis/Vitamins
F25	morsitans	16 days old	males	testes	B vitamins diet	Vitamins	morsitans/Vitamins
F26	morsitans	16 days old	males	testes	B vitamins diet	Vitamins	morsitans/Vitamins
F27	morsitans	16 days old	males	testes	B vitamins diet	Vitamins	morsitans/Vitamins
F28	morsitans	16 days old	males	guts	B vitamins diet	Vitamins	morsitans/Vitamins
F29	morsitans	16 days old	males	guts	B vitamins diet	Vitamins	morsitans/Vitamins
