	sequences per sample	iteration	ASIM94	ASIM88	ASIM3	ASIM4	ASIM20	ASIM91	ASIM18	ASIM89	ASIM86	ASIM24	ASIM85	ASIM90	ASIM92	ASIM12	ASIM1	ASIM87	ASIM14	ASIM8	ASIM25	ASIM2	ASIM93	ASIM13	ASIM23	ASIM15	ASIM10	ASIM16	ASIM9	ASIM11	ASIM17	ASIM26	ASIM21	ASIM7	ASIM6	ASIM5	ASIM22	ASIM19
alpha_rarefaction_750_6.txt	750	6	114.0	211.0	252.714285714	217.0	53.3333333333	183.769230769	49.25	139.3125	170.619047619	29.0	152.875	146.0	219.5	72.3333333333	349.125	154.6	20.0	50.0	197.0	238.75	226.428571429	21.0	83.0	23.0	110.0	24.5	51.0	45.75	110.0	65.6666666667	32.0	91.0	72.0	126.0	65.5	14.0
alpha_rarefaction_750_7.txt	750	7	133.5	157.2	235.058823529	385.0	93.0	169.176470588	31.25	217.111111111	175.214285714	47.0	161.833333333	203.0	169.066666667	84.0	191.545454545	173.153846154	34.0	51.0	602.0	173.545454545	160.066666667	25.0	74.5	127.0	91.0	32.0	50.0	239.0	34.0	89.1111111111	67.5	39.1666666667	87.6	45.75	43.0	38.5
alpha_rarefaction_750_8.txt	750	8	100.0	166.0	220.333333333	417.363636364	20.25	198.083333333	74.5	170.272727273	162.0	73.0	193.076923077	255.5	300.833333333	172.0	194.461538462	173.214285714	20.5	26.0	100.0	261.0	133.214285714	13.0	73.0	60.0	31.0	13.0	60.0	35.2	41.0	119.5	32.0	91.0	220.0	33.75	29.0	51.3333333333
alpha_rarefaction_750_9.txt	750	9	109.111111111	211.214285714	305.0	330.0	60.0	362.0	69.3333333333	238.8	158.461538462	111.0	212.142857143	197.083333333	184.125	126.0	332.666666667	180.666666667	36.3333333333	27.0	223.75	120.5	184.0	15.3333333333	32.0	84.0	13.0	45.5	34.0	160.0	51.0	82.8571428571	43.0	53.0	148.5	30.0	51.0	26.0
alpha_rarefaction_1000_0.txt	1000	0	129.090909091	185.6	268.555555556	399.428571429	92.3333333333	255.0625	48.75	250.0	159.04	159.0	164.588235294	151.789473684	366.5	93.75	461.0	271.315789474	51.0	85.0	186.0	227.428571429	145.666666667	20.5	46.0	23.0	83.0	33.0	62.0	144.0	73.0	71.6	49.0	46.0	70.6666666667	93.0	50.0	72.0
alpha_rarefaction_1000_1.txt	1000	1	208.0	185.75	285.125	626.909090909	75.5	326.153846154	84.0	217.647058824	210.666666667	18.75	226.272727273	197.714285714	172.333333333	101.5	269.647058824	202.352941176	61.0	84.0	115.6	422.2	249.5	12.0	160.0	34.0	24.0	33.0	38.5	67.5	25.3333333333	139.5	261.0	61.0	69.0	183.0	28.0	22.0
alpha_rarefaction_1000_2.txt	1000	2	129.666666667	241.375	282.571428571	330.055555556	75.5	170.894736842	117.333333333	269.230769231	210.8	106.0	176.666666667	202.428571429	190.136363636	173.0	288.235294118	169.5625	67.5	35.0	159.25	236.111111111	290.0	14.0	52.3333333333	33.0	33.0	51.0	18.0	79.0	19.0	122.428571429	112.5	283.0	121.333333333	52.0	72.0	44.5
alpha_rarefaction_1000_3.txt	1000	3	137.545454545	237.545454545	142.434782609	290.272727273	128.0	177.75	77.5	244.615384615	229.769230769	126.0	201.0	258.272727273	343.111111111	111.2	291.5	227.2	125.0	24.5	206.333333333	182.5	218.545454545	84.0	84.0	58.0	75.5	83.0	34.0	35.2	84.0	87.625	33.0	55.2	63.3333333333	62.0	38.5	97.0
alpha_rarefaction_1000_4.txt	1000	4	267.2	208.352941176	274.8125	411.769230769	76.5	260.769230769	49.0	281.363636364	179.045454545	37.3333333333	254.0	221.0	231.0	213.5	293.928571429	172.25	65.5	24.5	213.5	290.0	177.571428571	17.0	96.0	31.0	159.0	24.5	33.75	156.5	52.3333333333	105.111111111	53.3333333333	94.0	81.1666666667	146.5	51.0	142.0
alpha_rarefaction_1000_5.txt	1000	5	156.25	239.235294118	355.090909091	345.058823529	31.0	340.1	69.5	264.5	148.0	58.0	173.9	194.714285714	311.714285714	120.25	263.666666667	253.75	52.0	28.0	127.666666667	283.090909091	150.0	11.5	66.5	34.2	126.0	52.0	83.0	46.75	28.0	148.142857143	54.0	55.0	71.0	59.6	29.0	22.0
